"Libellé";"Indice brut de la production industrielle (base 100 en 2021) - Industrie pharmaceutique (NAF rév. 2, niveau division, poste 21)";"Codes"
"idBank";"010767831";""
"Dernière mise à jour";"03/04/2026 08:45";""
"Période";"";""
"2026-02";"111.68";"A"
"2026-01";"117.23";"A"
"2025-12";"122.99";"A"
"2025-11";"109.68";"A"
"2025-10";"125.63";"A"
"2025-09";"115.03";"A"
"2025-08";"93.74";"A"
"2025-07";"125.64";"A"
"2025-06";"126.98";"A"
"2025-05";"112.27";"A"
"2025-04";"130.57";"A"
"2025-03";"128.59";"A"
"2025-02";"117.01";"A"
"2025-01";"123.26";"A"
"2024-12";"115.55";"A"
"2024-11";"118.85";"A"
"2024-10";"129.69";"A"
"2024-09";"120.27";"A"
"2024-08";"107.3";"A"
"2024-07";"124.93";"A"
"2024-06";"121.61";"A"
"2024-05";"109.59";"A"
"2024-04";"126.12";"A"
"2024-03";"122.16";"A"
"2024-02";"112.01";"A"
"2024-01";"120.35";"A"
"2023-12";"110.38";"A"
"2023-11";"115.67";"A"
"2023-10";"115.76";"A"
"2023-09";"104.58";"A"
"2023-08";"83.56";"A"
"2023-07";"106.5";"A"
"2023-06";"116.73";"A"
"2023-05";"93.38";"A"
"2023-04";"98.69";"A"
"2023-03";"112.16";"A"
"2023-02";"105.98";"A"
"2023-01";"109.33";"A"
"2022-12";"118.75";"A"
"2022-11";"108.13";"A"
"2022-10";"110.1";"A"
"2022-09";"109.23";"A"
"2022-08";"89.27";"A"
"2022-07";"102.65";"A"
"2022-06";"117.9";"A"
"2022-05";"108.18";"A"
"2022-04";"107.9";"A"
"2022-03";"106.55";"A"
"2022-02";"89.81";"A"
"2022-01";"104.61";"A"
"2021-12";"90.58";"A"
"2021-11";"95.71";"A"
"2021-10";"103.95";"A"
"2021-09";"100.64";"A"
"2021-08";"88.79";"A"
"2021-07";"94.26";"A"
"2021-06";"109.54";"A"
"2021-05";"95.97";"A"
"2021-04";"101.51";"A"
"2021-03";"113.12";"A"
"2021-02";"97.45";"A"
"2021-01";"108.49";"A"
"2020-12";"95.21";"A"
"2020-11";"98.71";"A"
"2020-10";"117.76";"A"
"2020-09";"102.6";"A"
"2020-08";"74.26";"A"
"2020-07";"102.78";"A"
"2020-06";"105.31";"A"
"2020-05";"86.73";"A"
"2020-04";"96.25";"A"
"2020-03";"124.11";"A"
"2020-02";"89.08";"A"
"2020-01";"95.35";"A"
"2019-12";"97.4";"A"
"2019-11";"90.17";"A"
"2019-10";"122.59";"A"
"2019-09";"94.81";"A"
"2019-08";"79.12";"A"
"2019-07";"104.8";"A"
"2019-06";"92.48";"A"
"2019-05";"100.45";"A"
"2019-04";"95.17";"A"
"2019-03";"90.77";"A"
"2019-02";"88.95";"A"
"2019-01";"85.8";"A"
"2018-12";"93.1";"A"
"2018-11";"91.79";"A"
"2018-10";"104.29";"A"
"2018-09";"84.13";"A"
"2018-08";"77.67";"A"
"2018-07";"93.13";"A"
"2018-06";"95.34";"A"
"2018-05";"81.72";"A"
"2018-04";"88.69";"A"
"2018-03";"98.34";"A"
"2018-02";"79.47";"A"
"2018-01";"81.39";"A"
"2017-12";"83.27";"A"
"2017-11";"93.27";"A"
"2017-10";"95.51";"A"
"2017-09";"82.98";"A"
"2017-08";"68.77";"A"
"2017-07";"80.24";"A"
"2017-06";"88.91";"A"
"2017-05";"79.81";"A"
"2017-04";"83.92";"A"
"2017-03";"85.63";"A"
"2017-02";"75.95";"A"
"2017-01";"78.69";"A"
"2016-12";"82.08";"A"
"2016-11";"87.14";"A"
"2016-10";"81.55";"A"
"2016-09";"81.71";"A"
"2016-08";"74.96";"A"
"2016-07";"77.95";"A"
"2016-06";"92.48";"A"
"2016-05";"77.85";"A"
"2016-04";"84.11";"A"
"2016-03";"87.99";"A"
"2016-02";"74.31";"A"
"2016-01";"74.85";"A"
"2015-12";"87.84";"A"
"2015-11";"80.08";"A"
"2015-10";"89.33";"A"
"2015-09";"84.68";"A"
"2015-08";"71.49";"A"
"2015-07";"81.75";"A"
"2015-06";"87.04";"A"
"2015-05";"71.8";"A"
"2015-04";"87.32";"A"
"2015-03";"90.19";"A"
"2015-02";"78.31";"A"
"2015-01";"74.98";"A"
"2014-12";"72.2";"A"
"2014-11";"69.77";"A"
"2014-10";"81.84";"A"
"2014-09";"75.7";"A"
"2014-08";"62.32";"A"
"2014-07";"67.91";"A"
"2014-06";"66.11";"A"
"2014-05";"61.81";"A"
"2014-04";"76.7";"A"
"2014-03";"74.62";"A"
"2014-02";"71.75";"A"
"2014-01";"65.05";"A"
"2013-12";"66.97";"A"
"2013-11";"68.05";"A"
"2013-10";"80.0";"A"
"2013-09";"74.11";"A"
"2013-08";"61.23";"A"
"2013-07";"76.53";"A"
"2013-06";"74.94";"A"
"2013-05";"73.46";"A"
"2013-04";"80.56";"A"
"2013-03";"76.72";"A"
"2013-02";"71.17";"A"
"2013-01";"73.7";"A"
"2012-12";"63.52";"A"
"2012-11";"71.29";"A"
"2012-10";"73.34";"A"
"2012-09";"72.31";"A"
"2012-08";"71.85";"A"
"2012-07";"76.54";"A"
"2012-06";"79.5";"A"
"2012-05";"73.01";"A"
"2012-04";"80.09";"A"
"2012-03";"76.5";"A"
"2012-02";"72.3";"A"
"2012-01";"65.04";"A"
"2011-12";"67.43";"A"
"2011-11";"70.11";"A"
"2011-10";"73.76";"A"
"2011-09";"70.32";"A"
"2011-08";"66.86";"A"
"2011-07";"69.33";"A"
"2011-06";"67.9";"A"
"2011-05";"69.74";"A"
"2011-04";"65.43";"A"
"2011-03";"75.44";"A"
"2011-02";"71.43";"A"
"2011-01";"64.52";"A"
"2010-12";"69.51";"A"
"2010-11";"67.5";"A"
"2010-10";"75.68";"A"
"2010-09";"71.87";"A"
"2010-08";"64.22";"A"
"2010-07";"78.53";"A"
"2010-06";"80.36";"A"
"2010-05";"69.33";"A"
"2010-04";"71.19";"A"
"2010-03";"80.34";"A"
"2010-02";"68.11";"A"
"2010-01";"69.02";"A"
"2009-12";"76.89";"A"
"2009-11";"74.5";"A"
"2009-10";"77.26";"A"
"2009-09";"88.03";"A"
"2009-08";"61.56";"A"
"2009-07";"77.51";"A"
"2009-06";"80.61";"A"
"2009-05";"69.84";"A"
"2009-04";"70.71";"A"
"2009-03";"72.29";"A"
"2009-02";"63.84";"A"
"2009-01";"72.74";"A"
"2008-12";"71.67";"A"
"2008-11";"71.65";"A"
"2008-10";"87.66";"A"
"2008-09";"75.11";"A"
"2008-08";"57.42";"A"
"2008-07";"73.33";"A"
"2008-06";"73.01";"A"
"2008-05";"66.11";"A"
"2008-04";"74.36";"A"
"2008-03";"72.8";"A"
"2008-02";"73.43";"A"
"2008-01";"74.88";"A"
"2007-12";"67.51";"A"
"2007-11";"72.49";"A"
"2007-10";"81.75";"A"
"2007-09";"75.87";"A"
"2007-08";"63.06";"A"
"2007-07";"75.92";"A"
"2007-06";"73.36";"A"
"2007-05";"69.48";"A"
"2007-04";"69.6";"A"
"2007-03";"73.94";"A"
"2007-02";"70.78";"A"
"2007-01";"79.99";"A"
"2006-12";"67.49";"A"
"2006-11";"73.98";"A"
"2006-10";"79.86";"A"
"2006-09";"75.75";"A"
"2006-08";"59.9";"A"
"2006-07";"72.08";"A"
"2006-06";"74.3";"A"
"2006-05";"71.83";"A"
"2006-04";"72.78";"A"
"2006-03";"78.33";"A"
"2006-02";"70.25";"A"
"2006-01";"72.45";"A"
"2005-12";"71.24";"A"
"2005-11";"73.58";"A"
"2005-10";"76.45";"A"
"2005-09";"78.86";"A"
"2005-08";"62.08";"A"
"2005-07";"68.74";"A"
"2005-06";"73.11";"A"
"2005-05";"68.24";"A"
"2005-04";"73.98";"A"
"2005-03";"72.83";"A"
"2005-02";"67.56";"A"
"2005-01";"69.11";"A"
"2004-12";"70.09";"A"
"2004-11";"70.0";"A"
"2004-10";"72.95";"A"
"2004-09";"72.74";"A"
"2004-08";"56.73";"A"
"2004-07";"67.63";"A"
"2004-06";"71.17";"A"
"2004-05";"64.9";"A"
"2004-04";"68.94";"A"
"2004-03";"72.62";"A"
"2004-02";"65.34";"A"
"2004-01";"68.58";"A"
"2003-12";"67.16";"A"
"2003-11";"64.15";"A"
"2003-10";"73.56";"A"
"2003-09";"68.57";"A"
"2003-08";"52.85";"A"
"2003-07";"71.58";"A"
"2003-06";"64.16";"A"
"2003-05";"57.64";"A"
"2003-04";"66.95";"A"
"2003-03";"65.44";"A"
"2003-02";"60.44";"A"
"2003-01";"66.48";"A"
"2002-12";"58.32";"A"
"2002-11";"63.45";"A"
"2002-10";"68.63";"A"
"2002-09";"66.23";"A"
"2002-08";"50.46";"A"
"2002-07";"62.96";"A"
"2002-06";"60.14";"A"
"2002-05";"56.27";"A"
"2002-04";"65.09";"A"
"2002-03";"64.58";"A"
"2002-02";"59.19";"A"
"2002-01";"67.4";"A"
"2001-12";"56.83";"A"
"2001-11";"61.09";"A"
"2001-10";"66.11";"A"
"2001-09";"58.04";"A"
"2001-08";"50.5";"A"
"2001-07";"58.4";"A"
"2001-06";"58.65";"A"
"2001-05";"56.04";"A"
"2001-04";"58.81";"A"
"2001-03";"61.9";"A"
"2001-02";"54.0";"A"
"2001-01";"58.86";"A"
"2000-12";"54.5";"A"
"2000-11";"56.18";"A"
"2000-10";"58.78";"A"
"2000-09";"53.86";"A"
"2000-08";"42.08";"A"
"2000-07";"47.42";"A"
"2000-06";"51.64";"A"
"2000-05";"52.69";"A"
"2000-04";"47.83";"A"
"2000-03";"55.35";"A"
"2000-02";"49.52";"A"
"2000-01";"53.24";"A"
"1999-12";"53.55";"A"
"1999-11";"51.06";"A"
"1999-10";"53.44";"A"
"1999-09";"49.07";"A"
"1999-08";"38.72";"A"
"1999-07";"45.69";"A"
"1999-06";"52.43";"A"
"1999-05";"43.09";"A"
"1999-04";"47.08";"A"
"1999-03";"52.31";"A"
"1999-02";"47.57";"A"
"1999-01";"45.29";"A"
"1998-12";"49.97";"A"
"1998-11";"44.58";"A"
"1998-10";"50.27";"A"
